Separation Potential
12.000000 7.669085040665790132e+01 4.033038976299245840e-05
13.000000 7.421276120382408692e+01 2.942921138073994385e-05
14.000000 7.184666013097449877e+01 2.192020522966602541e-05
15.000000 6.958772962417403107e+01 1.661734574283714493e-05
16.000000 6.743118962496913582e+01 1.279109305274136815e-05
17.000000 6.537233023327161163e+01 9.978137962079990911e-06
18.000000 6.340653897665509930e+01 7.875916985494445683e-06
19.000000 6.152932299638531788e+01 6.281920340862217318e-06
20.000000 5.973632654788740126e+01 5.057614613929035095e-06
21.000000 5.802334427237435222e+01 4.106367736279150762e-06
22.000000 5.638633072378561195e+01 3.359587511179798519e-06
23.000000 5.482140663786702106e+01 2.767812891096660712e-06
24.000000 5.332486241455769971e+01 2.294866832128734401e-06
25.000000 5.189315925644429939e+01 1.913944287471594737e-06
26.000000 5.052292836957531108e+01 1.604949233027509783e-06
27.000000 4.921096859212939734e+01 1.352652356735648064e-06
28.000000 4.795424277414682734e+01 1.145398179969915337e-06
29.000000 4.674987318983376383e+01 9.741850511619967561e-07
30.000000 4.559513622425934187e+01 8.320025704622872272e-07
31.000000 4.448745653948812162e+01 7.133486280658457121e-07
32.000000 4.342440089183252638e+01 6.138739026811384180e-07
33.000000 4.240367174217436030e+01 5.301172087428157819e-07
34.000000 4.142310077519046985e+01 4.593070002851471017e-07
35.000000 4.048064242067177787e+01 3.992110102772325042e-07
36.000000 3.957436745071422735e+01 3.480214666250163338e-07
37.000000 3.870245671009161725e+01 3.042668697653807003e-07
38.000000 3.786319502328508690e+01 2.667436080302568940e-07
39.000000 3.705496531013143624e+01 2.344626898995555909e-07
40.000000 3.627624293256100430e+01 2.066080684219484847e-07
41.000000 3.552559028714657074e+01 1.825034696465352297e-07
42.000000 3.480165165192355659e+01 1.615863505093858689e-07
43.000000 3.410314829093865541e+01 1.433870344141978437e-07
44.000000 3.342887381603997454e+01 1.275120920796689545e-07
45.000000 3.277768980235789797e+01 1.136306932834874269e-07
46.000000 3.214852165159388875e+01 1.014638416720876029e-07
47.000000 3.154035469550132120e+01 9.077551476852392733e-08
48.000000 3.095223053069990016e+01 8.136538780155933691e-08
49.000000 3.038324357511868712e+01 7.306304233173357561e-08
50.000000 2.983253783583487007e+01 6.572302587291070078e-08
51.000000 2.929930387780051149e+01 5.922089796583268138e-08
52.000000 2.878277598287356298e+01 5.344995915827869643e-08
53.000000 2.828222948864819486e+01 4.831843240830001809e-08
54.000000 2.779697829677560961e+01 4.374724024672810949e-08
55.000000 2.732637254075117639e+01 3.966802909762232815e-08
56.000000 2.686979640349160903e+01 3.602175045852774962e-08
57.000000 2.642666607541864465e+01 3.275705899285657648e-08
58.000000 2.599642784418663766e+01 2.982929146819760593e-08
59.000000 2.557855630762918864e+01 2.719967321896920732e-08
60.000000 2.517255270194415573e+01 2.483435680488906141e-08
61.000000 2.477794333757976020e+01 2.270356664256801812e-08
62.000000 2.439427813572139314e+01 2.078122525627313174e-08
63.000000 2.402112925870467564e+01 1.904458898010531115e-08
64.000000 2.365808982809215166e+01 1.747356769206316001e-08
65.000000 2.330477272454693605e+01 1.605043678093936820e-08
66.000000 2.296080946401446710e+01 1.475967168087600847e-08
67.000000 2.262584914508300926e+01 1.358744309832463017e-08
68.000000 2.229955746273419237e+01 1.252159894899366027e-08
69.000000 2.198161578401620631e+01 1.155127509664200936e-08
70.000000 2.167172028147503582e+01 1.066692755658974235e-08
71.000000 2.136958112046341185e+01 9.859974060182106410e-09
72.000000 2.107492169671366256e+01 9.122843630304869970e-09
73.000000 2.078747792081014367e+01 8.448772282166014410e-09
74.000000 2.050699754642980110e+01 7.831681804015101340e-09
75.000000 2.023323953943717157e+01 7.266185779070132699e-09
76.000000 1.996597348512266379e+01 6.747431907101782641e-09
77.000000 1.970497903106197413e+01 6.271095878843885057e-09
78.000000 1.945004536325020794e+01 5.833298822225546627e-09
79.000000 1.920097071332780203e+01 5.430475282970309743e-09
80.000000 1.895756189486726484e+01 5.059563854312196176e-09
81.000000 1.871963386683114194e+01 4.717669071559882825e-09
82.000000 1.848700932244252471e+01 4.402263693712541430e-09
83.000000 1.825951830183162272e+01 4.111062289698494873e-09
84.000000 1.803699782693463405e+01 3.841931820557858080e-09
85.000000 1.781929155722648161e+01 3.593022601047884051e-09
86.000000 1.760624946496630017e+01 3.362621994710947950e-09
87.000000 1.739772752872500305e+01 3.149165936687066685e-09
88.000000 1.719358744404832962e+01 2.951280970008576360e-09
89.000000 1.699369635018671332e+01 2.767663684031713656e-09
90.000000 1.679792657189559790e+01 2.597148529285637453e-09
91.000000 1.660615537537709230e+01 2.438727889998182088e-09
92.000000 1.641826473749623005e+01 2.291408444548742423e-09
93.000000 1.623414112746297633e+01 2.154292531371345010e-09
94.000000 1.605367530022504852e+01 2.026622396264477704e-09
95.000000 1.587676210086649675e+01 1.907640403474841787e-09
96.000000 1.570330027935350259e+01 1.796712794385493142e-09
97.000000 1.553319231501210496e+01 1.693189463707512113e-09
98.000000 1.536634425016254824e+01 1.596513220728677437e-09
99.000000 1.520266553237249418e+01 1.506179077881979950e-09
100.000000 1.504206886482583450e+01 1.421747439853361709e-09
